Time,CO2 (ppm),CH4 (ppb),N2O (ppb),CFC_11 (ppb),CFC_12 (ppb)
2026.797331,430.0491528,1961.638465,339.3497299,0.210412738,0.477332727
2026.839033,430.157049,1961.968872,339.3917627,0.210339989,0.477175672
2026.880734,430.2649933,1962.299226,339.433809,0.21026724,0.477018465
2026.922435,430.3729856,1962.629528,339.4758687,0.210194491,0.476861104
2026.964137,430.481026,1962.959778,339.5179419,0.210121743,0.47670359
2027.005838,430.5891144,1963.289976,339.5600285,0.210048994,0.476545924
2027.04754,430.697251,1963.620122,339.6021285,0.209976245,0.476388104
2027.089241,430.8054356,1963.950216,339.6442419,0.209903496,0.476230132
2027.130942,430.9136684,1964.280258,339.6863688,0.209830747,0.476072007
2027.172644,431.0219493,1964.610248,339.7285092,0.209757998,0.47591373
2027.214345,431.1302783,1964.940186,339.7706629,0.209685249,0.4757553
2027.256047,431.2386555,1965.270072,339.8128301,0.2096125,0.475596717
2027.297748,431.3470809,1965.599907,339.8550108,0.209539751,0.475437982
2027.33945,431.4555545,1965.92969,339.8972048,0.209467003,0.475279095
2027.381151,431.5640762,1966.259421,339.9394124,0.209394254,0.475120055
2027.422852,431.6726462,1966.5891,339.9816333,0.209321505,0.474960862
2027.464554,431.7812644,1966.918728,340.0238677,0.209248756,0.474801518
2027.506255,431.8899308,1967.248305,340.0661155,0.209176007,0.474642021
2027.547957,431.9986455,1967.57783,340.1083768,0.209103258,0.474482371
2027.589658,432.1074085,1967.907304,340.1506515,0.209030509,0.47432257
2027.631359,432.2162197,1968.236727,340.1929396,0.20895776,0.474162617
2027.673061,432.3250793,1968.566098,340.2352412,0.208885011,0.474002511
2027.714762,432.4339871,1968.895418,340.2775563,0.208812263,0.473842254
2027.756464,432.5429433,1969.224687,340.3198847,0.208739514,0.473681844
2027.798165,432.6519478,1969.553905,340.3622266,0.208666765,0.473521283
2027.839867,432.7610006,1969.883072,340.404582,0.208594016,0.47336057
2027.881568,432.8701019,1970.212188,340.4469507,0.208521267,0.473199705
2027.923269,432.9792515,1970.541253,340.489333,0.208448518,0.473038688
2027.964971,433.0884495,1970.870267,340.5317286,0.208375769,0.47287752
2028.006672,433.1976958,1971.19923,340.5741377,0.20830302,0.4727162
2028.048374,433.3069907,1971.528143,340.6165603,0.208230271,0.472554728
2028.090075,433.4163339,1971.857005,340.6589963,0.208157523,0.472393105
2028.131776,433.5257256,1972.185816,340.7014457,0.208084774,0.47223133
2028.173478,433.6351658,1972.514577,340.7439086,0.208012025,0.472069404
2028.215179,433.7446544,1972.843287,340.7863849,0.207939276,0.471907327
2028.256881,433.8541915,1973.171946,340.8288746,0.207866527,0.471745098
2028.298582,433.9637772,1973.500556,340.8713778,0.207793778,0.471582718
2028.340284,434.0734113,1973.829115,340.9138945,0.207721029,0.471420187
2028.381985,434.183094,1974.157623,340.9564246,0.20764828,0.471257505
2028.423686,434.2928252,1974.486082,340.9989681,0.207575531,0.471094672
2028.465388,434.402605,1974.81449,341.0415251,0.207502783,0.470931688
2028.507089,434.5124334,1975.142848,341.0840955,0.207430034,0.470768552
2028.548791,434.6223103,1975.471156,341.1266794,0.207357285,0.470605266
2028.590492,434.7322359,1975.799414,341.1692767,0.207284536,0.470441829
2028.632193,434.8422101,1976.127621,341.2118874,0.207211787,0.470278241
2028.673895,434.9522329,1976.455779,341.2545116,0.207139038,0.470114503
2028.715596,435.0623043,1976.783887,341.2971493,0.207066289,0.469950614
2028.757298,435.1724244,1977.111946,341.3398004,0.20699354,0.469786574
2028.798999,435.2825932,1977.439954,341.3824649,0.206920791,0.469622384
2028.840701,435.3928107,1977.767913,341.4251429,0.206848043,0.469458043
2028.882402,435.5030768,1978.095822,341.4678343,0.206775294,0.469293552
2028.924103,435.6133917,1978.423682,341.5105392,0.206702545,0.469128911
2028.965805,435.7237553,1978.751492,341.5532575,0.206629796,0.468964119
2029.007506,435.8341677,1979.079252,341.5959893,0.206557047,0.468799177
2029.049208,435.9446288,1979.406963,341.6387346,0.206484298,0.468634085
